smiles,pred_pAct_JNK1,pred_pAct_JNK2,pred_pAct_JNK3,p_family,pred_delta_min_computed,sa,qed,final_score
COc1ccc(Nc2ncc(Cl)c(Nc3ccccc3C(N)=O)n2)cc1,6.416477,8.267124,9.256775,9.256775,-2.8402977,2.051694354328525,0.6115541273044517,0.8071636595970484
N#Cc1ccc(Nc2ncc(Cl)c(Nc3ccccc3C(N)=O)n2)cc1,6.624625,8.342404,9.107745,9.107745,-2.48312,2.205618678652849,0.6365290105781194,0.8055449778016297
NC(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCCC3=O)cc2)ncc1Cl,6.161203,8.386375,9.473748,9.473748,-3.3125453,2.308541295707778,0.5557685866707655,0.8015424993805849
NC(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCOCC3)cc2)ncc1Cl,6.208526,8.394595,9.435006,9.435006,-3.22648,2.2674549345949533,0.555193668815431,0.800417414225944
Cc1cc(Nc2ncc(Cl)c(Nc3ccccc3C(N)=O)n2)ccc1N1CCOCC1,6.3115945,8.394595,9.455922,9.455922,-3.1443276,2.3710547839826894,0.5361548996770706,0.798270066361487
NC(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCOCC3)c(F)c2)ncc1Cl,6.2412686,8.394595,9.481242,9.481242,-3.2399735,2.3764205575349795,0.5342059697853931,0.7981643377965543
NC(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCOCC3)cc2F)ncc1Cl,6.206609,8.338515,9.368386,9.368386,-3.1617775,2.400937584328412,0.5342059697853931,0.7911921944718268
NC(=O)c1ccccc1Nc1nc(Nc2ccc(F)cc2)ncc1Cl,6.274145,8.031497,8.824373,8.824373,-2.550228,2.0661251256674333,0.644469381672002,0.787685330461027
COc1cc(Nc2ncc(Cl)c(Nc3ccccc3C(N)=O)n2)ccc1N1CCOCC1,6.3349304,8.394595,9.388724,9.388724,-3.053794,2.3869415082822236,0.4960863475336107,0.7867516487125352
NC(=O)c1ccccc1Nc1nc(Nc2ccc(Cl)cc2)ncc1Cl,6.2201085,7.9115806,8.822306,8.822306,-2.6021972,2.061089806057465,0.6167643952262964,0.7812704209833115
COc1cc(N2CCOCC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2C(N)=O)n1,6.318446,8.340599,9.189889,9.189889,-2.8714428,2.400504718984564,0.4960863475336109,0.7754328071862613
COc1ccc(Oc2ncc(Cl)c(Nc3ccccc3C(N)=O)n2)cc1,6.4546514,6.31456,8.204114,8.204114,-1.7494626,2.1532502794844497,0.6846973824004906,0.763453011836041
